id,city_name,country,venue_name,region_cluster,airport_code,city_name_pt
1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,Atlanta
2,Boston,USA,Gillette Stadium,East,BOS,Boston
3,Dallas,USA,AT&T Stadium,Central,DAL,Dallas
4,Houston,USA,NRG Stadium,Central,IAH,Houston
5,Kansas City,USA,Arrowhead Stadium,Central,MCI,Kansas City
6,Los Angeles,USA,SoFi Stadium,West,LAX,Los Angeles
7,Miami,USA,Hard Rock Stadium,East,MIA,Miami
8,New York/New Jersey,USA,MetLife Stadium,East,EWR,Nova York/Nova Jersey
9,Philadelphia,USA,Lincoln Financial Field,East,PHL,Filadélfia
10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,Baía de São Francisco
11,Seattle,USA,Lumen Field,West,SEA,Seattle
12,Toronto,Canada,BMO Field,East,YYZ,Toronto
13,Vancouver,Canada,BC Place,West,YVR,Vancouver
14,Guadalajara,Mexico,Estadio Akron,Central,GDL,Guadalajara
15,Mexico City,Mexico,Estadio Azteca,Central,MEX,Cidade do México
16,Monterrey,Mexico,Estadio BBVA,Central,MTY,Monterrey
